"Year","pheno","Predicted"
2021,98,100.375
2023,64,64.5416666666667
2024,49,46.0833333333333
2025,64,64.4166666666667
2026,50,45.2083333333333
2029,95,102.291666666667
2030,53,53.9583333333333
2031,113,129.083333333333
2032,53,71.1666666666667
2033,130,109.916666666667
2034,109,87.2916666666667
2035,53,53.25
2038,112,104.083333333333
2039,89,80.2083333333333
2044,93,81.2083333333333
2046,113,105.375
2048,115,114.208333333333
2049,99,96.25
2050,71,68.1666666666667
2053,112,132.25
2056,108,113.958333333333
2057,77,71.625
2061,119,78.0833333333333
2062,133,140.666666666667
2063,73,73.375
2064,94,95.25
2065,140,149.416666666667
2066,97,84.0833333333333
2067,77,83.2916666666667
2069,112,117.25
2070,119,120.333333333333
2071,126,112.125
2072,108,113.5
2077,108,110.166666666667
2078,97,95.1666666666667
2079,112,112.041666666667
2081,129,129.125
2083,98,100.708333333333
2084,112,117.041666666667
2085,70,69.0833333333333
