"Year","pheno","Predicted"
2021,98,92.2083333333333
2023,64,61.25
2024,49,55.3333333333333
2025,64,61.4583333333333
2026,50,55.125
2027,100,99.125
2028,119,120.125
2029,95,92.375
2030,53,52.5833333333333
2031,113,116.333333333333
2033,130,129
2034,109,107.375
2035,53,51.4583333333333
2038,112,110.125
2039,89,88.25
2041,53,52.0833333333333
2044,93,89.0833333333333
2046,113,110.416666666667
2047,70,70.0416666666667
2048,115,115.333333333333
2049,99,96.3333333333333
2050,71,71.0833333333333
2052,116,119.333333333333
2053,112,127.375
2056,108,112.375
2057,77,73.9583333333333
2062,133,139.208333333333
2063,73,67.25
2064,94,92.2916666666667
2066,97,89.9166666666667
2067,77,77.9583333333333
2069,112,116
2070,119,118.333333333333
2071,126,113.583333333333
2072,108,112.375
2078,97,97
2079,112,112.166666666667
2083,98,96.375
2084,112,116.25
2085,70,65.0833333333333
